creating,14,112
destroyers,14,140
doors,14,70
empty,14,70
follow,14,84
forward,14,98
impossible,14,140
include,14,98
infinite,14,112
interested,14,140
kathleen,14,112
knowing,14,98
lego,14,56
level,14,70
mail,14,56
major,14,70
manifold,14,112
memory,14,84
mostly,14,84
nor,14,42
observing,14,126
odds,14,56
onto,14,56
points,14,84
pope,14,56
public,14,84
pupils,14,84
relaxed,14,98
represents,14,140
result,14,84
results,14,98
sat,14,42
service,14,98
share,14,70
shows,14,70
sky,14,42
slowly,14,84
spoke,14,70
standard,14,112
structure,14,126
ten,14,42
water,14,70
worked,14,84
written,14,98
wrong,14,70
although,13,104
arent,13,65
bet,13,39
bloomington,13,143
bonnie,13,78
boys,13,52
caught,13,78
coming,13,78
community,13,117
complete,13,104
concerned,13,117
corpse,13,78
count,13,65
exact,13,65
examples,13,104
except,13,78
explained,13,117
failed,13,78
fiber,13,65
force,13,65
formula,13,91
hour,13,52
interesting,13,143
line,13,52
met,13,39
model,13,65
mothers,13,91
movie,13,65
muscles,13,91
names,13,65
notice,13,78
phone,13,65
possibilities,13,169
powerful,13,104
reach,13,65
ready,13,65
scenario,13,104
seem,13,52
solution,13,104
speak,13,65
states,13,78
street,13,78
strongly,13,104
task,13,52
tired,13,65
tom,13,39
train,13,65
trouble,13,91
umbrella,13,104
update,13,78
variable,13,104
version,13,91
virus,13,65
worth,13,65
adding,12,72
aim,12,36
argument,12,96
arts,12,48
aware,12,60
born,12,48
broken,12,72
buddhism,12,96
california,12,120
carried,12,84
condition,12,108
cut,12,36
depression,12,120
design,12,72
difference,12,120
disorder,12,96
drawn,12,60
efforts,12,84
feels,12,60
feet,12,48
fell,12,48
free,12,48
gun,12,36
importance,12,120
instructions,12,144
japan,12,60
lead,12,48
martin,12,72
mathematical,12,144
natural,12,84
needs,12,60
none,12,48
note,12,48
physical,12,96
planet,12,72
present,12,84
range,12,60
reached,12,84
reading,12,84
rode,12,48
seat,12,48
secret,12,72
shooting,12,96
short,12,60
shoulder,12,96
similar,12,84
smiled,12,72
software,12,96
st,12,24
standing,12,96
story,12,60
strange,12,84
stress,12,72
strong,12,72
suddenly,12,96
sun,12,36
suppose,12,84
swordsmanship,12,156
team,12,48
third,12,60
uncertain,12,108
unlikely,12,96
walked,12,72
watched,12,84
whom,12,48
wide,12,48
wife,12,48
win,12,36
worry,12,60
age,11,33
alley,11,55
answered,11,88
ass,11,33
assign,11,66
assume,11,66
